iter	Logloss
0	0.6400180133
1	0.5917342926
2	0.5547997177
3	0.5210272414
4	0.495692191
5	0.4683160908
6	0.4409504635
7	0.420321056
8	0.4034813859
9	0.3931601375
10	0.3822763713
11	0.3709769205
12	0.3586839819
13	0.3499130428
14	0.3392555442
15	0.3326277835
16	0.3250984948
17	0.3200010357
18	0.3119601805
19	0.308687395
20	0.3037189728
21	0.2982219771
22	0.2944463301
23	0.2894145095
24	0.2849127521
25	0.2815028755
26	0.277458613
27	0.2743133446
28	0.2704827038
29	0.2659641079
30	0.2607505936
31	0.2576218972
32	0.2544962065
33	0.2519130255
34	0.2480329554
35	0.2434562129
36	0.2408034283
37	0.2373549652
38	0.2356425047
39	0.2323394958
40	0.2298465476
41	0.2285538333
42	0.2264082467
43	0.2236042372
44	0.223027937
45	0.2188891636
46	0.2169372736
47	0.2142097611
48	0.2117048621
49	0.2086284338
50	0.2063239535
51	0.2048618918
52	0.2019328395
53	0.2001146668
54	0.1988790655
55	0.1969717703
56	0.1953575668
57	0.194275696
58	0.1927146663
59	0.1902775403
60	0.1876801437
61	0.1854664614
62	0.1837808213
63	0.18079573
64	0.1796442115
65	0.177431651
66	0.1745140693
67	0.1723163495
68	0.1709310352
69	0.1697696994
70	0.1671356426
71	0.1655136772
72	0.1634816131
73	0.1609617027
74	0.159034421
75	0.1568130137
76	0.1549649372
77	0.1536370525
78	0.1523436894
79	0.1499560216
80	0.1483574211
81	0.1474382255
82	0.1458613019
83	0.143578105
84	0.1417289092
85	0.1403243024
86	0.1401009512
87	0.1386248458
88	0.1366286301
89	0.1363084
90	0.1341513906
91	0.1330687442
92	0.131851943
93	0.1298982619
94	0.1279096901
95	0.1261101173
96	0.1242637904
97	0.1232853508
98	0.1222910968
99	0.1207631532
