iter	Passed	Remaining
0	2	209
1	3	186
2	5	176
3	7	170
4	8	167
5	10	164
6	12	161
7	13	157
8	15	155
9	17	153
10	18	151
11	20	149
12	22	147
13	23	145
14	25	143
15	26	141
16	28	139
17	30	137
18	31	135
19	33	134
20	35	132
21	37	131
22	38	129
23	40	127
24	42	126
25	43	124
26	45	122
27	46	120
28	48	119
29	50	117
30	52	115
31	53	114
32	55	112
33	57	111
34	58	109
35	60	107
36	62	105
37	63	104
38	65	102
39	66	100
40	68	98
41	70	96
42	71	94
43	73	92
44	73	90
45	75	88
46	76	86
47	78	84
48	79	82
49	80	80
50	82	79
51	83	77
52	85	75
53	86	73
54	88	72
55	89	70
56	90	68
57	92	66
58	93	64
59	94	63
60	96	61
61	97	59
62	98	58
63	100	56
64	101	54
65	102	53
66	104	51
67	105	49
68	106	48
69	108	46
70	110	45
71	111	43
72	112	41
73	114	40
74	115	38
75	117	37
76	118	35
77	120	33
78	121	32
79	122	30
80	124	29
81	125	27
82	127	26
83	128	24
84	129	22
85	131	21
86	132	19
87	134	18
88	135	16
89	136	15
90	138	13
91	139	12
92	150	11
93	151	9
94	153	8
95	154	6
96	156	4
97	157	3
98	158	1
99	160	0
